id,anime_id
1,11013
2,2104
3,5262
4,721
5,12365
6,6586
7,178
8,2787
9,4477
10,853
11,4814
12,7054
13,11123
14,14227
15,269
16,59
17,6045
18,1735
19,210
20,4224
21,10030
22,74
23,4722
24,14397
25,1557
26,10800
27,3731
28,9513
29,5835
30,9863
31,7817
32,966
33,120
34,957
35,21
36,1974
37,857
38,1914
39,249
40,6645
41,5690
42,1571
43,11759
44,7674
45,1698
46,14713
47,232
48,233
49,9656
50,9926
51,2564
52,3092
53,1579
54,32370
55,34152
56,153
57,27417
58,33398
59,1051
60,12447
61,1381
62,8022
63,32666
64,33775
65,14353
66,5235
67,26443
68,16251
69,36847
70,32561
71,24275
72,1811
73,9721
74,812
75,7791
76,747
77,11009
78,8726
79,15813
80,33462
81,1586
82,20057
83,30347
84,18893
85,35334
86,36755
87,2199
88,34561
89,238
90,27989
91,36838
92,1200
93,24031
94,3975
95,10935
96,22273
97,11769
98,10250
99,15771
100,8986
101,3675
102,33337
103,34350
104,36982
105,534
106,32032
107,30694
108,14355
109,11827
110,35240
111,10197
112,15279
113,1587
114,10588
115,6922
116,15211
117,6702
118,34975
119,19841
120,24641
121,24021
122,5199
123,22225
124,33274
125,146
126,21267
127,221
128,1483
129,32518
130,1640
131,35314
132,7082
133,35952
134,10521
135,3335
136,594
137,2520
138,4130
139,27727
140,2617
141,33094
142,209
143,33358
144,30721
145,28369
146,9509
147,3844
148,31699
149,7593
150,7411
151,30450
152,35139
153,1388
154,22
155,1016
156,2051
157,7155
158,34943
159,34430
160,31972
161,26349
162,2762
163,32792
164,15809
165,3627
166,33126
167,2205
168,17535
169,1151
170,2025
171,15125
172,7193
173,13585
174,1969
175,3813
176,8518
177,808
178,6890
179,35507
180,37150
181,4250
182,9074
183,1379
184,15819
185,25441
186,2476
187,19871
188,18
189,5060
190,5322
191,546
192,33915
193,10244
194,34644
195,6653
196,2618
197,35982
198,1921
199,31599
200,9754
201,29830
202,459
203,790
204,31486
205,4918
206,33095
207,1149
208,3747
209,10218
210,14837
211,5041
212,6707
213,37320
214,236
215,34438
216,1488
217,34818
218,9515
219,24873
220,5984
221,7435
222,12191
223,33018
224,11061
225,23623
226,4537
227,32983
228,32122
229,33028
230,64
231,5682
232,382
233,13373
234,821
235,7176
236,1726
237,8277
238,21681
239,36793
240,28211
241,254
242,8062
243,37104
244,865
245,19363
246,35249
247,799
248,560
249,30952
250,1124
251,2171
252,6337
253,34498
254,1837
255,8769
256,4124
257,1562
258,880
259,35889
260,1469
261,2155
262,3429
263,7639
264,22831
265,19391
266,4554
267,31747
268,5162
269,3737
270,2281
271,19255
272,36520
273,2264
274,8241
275,1925
276,10384
277,14995
278,5163
279,23837
280,32380
281,9806
282,12695
283,1744
284,33051
285,30144
286,835
287,831
288,1609
289,1910
290,6172
291,11569
292,20125
293,2463
294,1450
295,13807
296,9999
297,34037
298,13165
299,1122
300,2224
301,26023
302,3464
303,8132
304,33183
305,4050
306,798
307,11793
308,16035
309,26085
310,37115
311,15611
312,780
313,25567
314,12445
315,35473
316,35370
317,28913
318,242
319,1454
320,10905
321,23831
322,1686
323,33743
324,9834
325,33769
326,34323
327,36519
328,3016
329,6336
330,11465
331,33820
332,19383
333,33985
334,139
335,16009
336,12471
337,3448
338,956
339,1366
340,4536
341,34595
342,7655
343,877
344,32083
345,370
346,1429
347,35478
348,32625
349,399
350,1774
351,3889
352,1161
353,10923
354,28237
355,2559
356,2722
357,33255
358,21395
359,32275
360,28927
361,17249
362,6954
363,5909
364,34612
365,1565
366,8407
367,36825
368,2164
369,646
370,1216
371,3091
372,1846
373,11763
374,1026
375,801
376,33914
377,6112
378,33286
379,29829
380,25963
381,2985
382,5678
383,4061
384,34392
385,17211
386,13261
387,25265
388,6582
389,510
390,6149
391,16894
392,709
393,2488
394,219
395,16890
396,193
397,34939
398,33310
399,2004
400,33687
401,4879
402,13937
403,35417
404,1085
405,35330
406,10278
407,37031
408,35589
409,282
410,1644
411,3738
412,19569
413,12059
414,31617
415,2616
416,31797
417,34799
418,7782
419,8917
420,1622
421,32189
422,33086
423,28669
424,166
425,35118
426,20031
427,295
428,2146
429,2334
430,24793
431,23725
432,12879
433,16201
434,30411
435,28891
436,28247
437,37277
438,35002
439,35677
440,10302
441,836
442,3457
443,10532
444,9857
445,12979
446,18677
447,34785
448,5233
449,1769
450,24921
451,1012
452,5023
453,50
454,3251
455,17
456,22417
457,32557
458,35078
459,1416
460,9981
461,1691
462,36309
463,523
464,30851
465,6641
466,37140
467,1942
468,125
469,31426
470,4196
471,9810
472,34198
473,18743
474,1913
475,1142
476,16738
477,8799
478,1884
479,31338
480,23755
481,24
482,813
483,3031
484,6802
485,3906
486,36636
487,23985
488,8302
489,24833
490,10719
491,11795
492,7265
493,33566
494,5153
495,33164
496,21437
497,30191
498,1028
499,14817
500,9260
501,7152
502,770
503,1222
504,8934
505,14989
506,19961
507,27525
508,33480
509,2075
510,6312
511,21473
512,1088
513,36611
514,90
515,9014
516,20555
517,25687
518,1404
519,998
520,27821
521,34129
522,7062
523,33378
524,2245
525,6392
526,36542
527,14289
528,936
529,1370
530,32281
